"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Year"	"Year Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	"Region"	"Region Code"	Mortality-Incidence Age-Adjusted Rate Ratio	Death Counts	Incidence Counts
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Male"	"M"	"Black or African American"	"2054-5"	"South"	"CENS-R3"	0.720	205	320
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Male"	"M"	"Black or African American"	"2054-5"	"West"	"CENS-R4"	0.743	38	62
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	"Northeast"	"CENS-R1"	0.649	1220	1871
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	"Midwest"	"CENS-R2"	0.718	1579	2228
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	"South"	"CENS-R3"	0.693	2065	3014
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	"West"	"CENS-R4"	0.723	1423	2061
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Northeast"	"CENS-R1"	Not Applicable	0	21
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"South"	"CENS-R3"	Not Applicable	0	21
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"West"	"CENS-R4"	0.602	50	89
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Female"	"F"	"Black or African American"	"2054-5"	"Northeast"	"CENS-R1"	0.513	59	123
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Female"	"F"	"Black or African American"	"2054-5"	"Midwest"	"CENS-R2"	0.601	65	117
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Female"	"F"	"Black or African American"	"2054-5"	"South"	"CENS-R3"	0.613	171	297
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Female"	"F"	"Black or African American"	"2054-5"	"West"	"CENS-R4"	0.902	37	44
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Female"	"F"	"White"	"2106-3"	"Northeast"	"CENS-R1"	0.518	1009	1816
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Female"	"F"	"White"	"2106-3"	"Midwest"	"CENS-R2"	0.665	1253	1794
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Female"	"F"	"White"	"2106-3"	"South"	"CENS-R3"	0.635	1702	2536
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Female"	"F"	"White"	"2106-3"	"West"	"CENS-R4"	0.693	1086	1558
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Northeast"	"CENS-R1"	Not Applicable	0	23
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Northeast"	"CENS-R1"	0.549	18	41
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"West"	"CENS-R4"	0.553	49	95
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Male"	"M"	"Black or African American"	"2054-5"	"Northeast"	"CENS-R1"	0.497	51	114
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Male"	"M"	"Black or African American"	"2054-5"	"Midwest"	"CENS-R2"	0.613	73	131
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Male"	"M"	"Black or African American"	"2054-5"	"South"	"CENS-R3"	0.727	227	351
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Male"	"M"	"Black or African American"	"2054-5"	"West"	"CENS-R4"	0.697	39	57
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Male"	"M"	"White"	"2106-3"	"Northeast"	"CENS-R1"	0.579	1170	2001
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Male"	"M"	"White"	"2106-3"	"Midwest"	"CENS-R2"	0.721	1586	2223
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Male"	"M"	"White"	"2106-3"	"South"	"CENS-R3"	0.716	2153	3049
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Male"	"M"	"White"	"2106-3"	"West"	"CENS-R4"	0.722	1399	2022
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Northeast"	"CENS-R1"	Not Applicable	0	32
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Midwest"	"CENS-R2"	Not Applicable	0	16
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"South"	"CENS-R3"	Not Applicable	0	21
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"South"	"CENS-R3"	0.422	16	39
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"West"	"CENS-R4"	0.536	46	88
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Female"	"F"	"Black or African American"	"2054-5"	"Northeast"	"CENS-R1"	0.430	58	142
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Female"	"F"	"Black or African American"	"2054-5"	"Midwest"	"CENS-R2"	0.737	68	100
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Female"	"F"	"Black or African American"	"2054-5"	"South"	"CENS-R3"	0.625	186	317
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Female"	"F"	"Black or African American"	"2054-5"	"West"	"CENS-R4"	0.634	36	64
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Female"	"F"	"White"	"2106-3"	"Northeast"	"CENS-R1"	0.550	973	1644
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Female"	"F"	"White"	"2106-3"	"Midwest"	"CENS-R2"	0.657	1308	1897
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Female"	"F"	"White"	"2106-3"	"South"	"CENS-R3"	0.649	1753	2564
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Female"	"F"	"White"	"2106-3"	"West"	"CENS-R4"	0.680	1061	1546
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Northeast"	"CENS-R1"	0.397	17	45
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"South"	"CENS-R3"	0.735	21	39
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"West"	"CENS-R4"	0.579	65	121
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Male"	"M"	"Black or African American"	"2054-5"	"Northeast"	"CENS-R1"	0.466	48	127
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Male"	"M"	"Black or African American"	"2054-5"	"Midwest"	"CENS-R2"	0.643	75	130
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Male"	"M"	"Black or African American"	"2054-5"	"South"	"CENS-R3"	0.721	207	322
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Male"	"M"	"Black or African American"	"2054-5"	"West"	"CENS-R4"	0.672	36	61
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Male"	"M"	"White"	"2106-3"	"Northeast"	"CENS-R1"	0.606	1162	1908
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Male"	"M"	"White"	"2106-3"	"Midwest"	"CENS-R2"	0.694	1626	2367
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Male"	"M"	"White"	"2106-3"	"South"	"CENS-R3"	0.731	2253	3106
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Male"	"M"	"White"	"2106-3"	"West"	"CENS-R4"	0.714	1388	2012
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Northeast"	"CENS-R1"	Not Applicable	0	22
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Midwest"	"CENS-R2"	Not Applicable	0	17
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"South"	"CENS-R3"	Not Applicable	0	29
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Northeast"	"CENS-R1"	0.712	16	32
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"West"	"CENS-R4"	0.418	43	107
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Female"	"F"	"Black or African American"	"2054-5"	"Northeast"	"CENS-R1"	0.522	62	121
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Female"	"F"	"Black or African American"	"2054-5"	"Midwest"	"CENS-R2"	0.555	59	113
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Female"	"F"	"Black or African American"	"2054-5"	"South"	"CENS-R3"	0.693	211	325
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Female"	"F"	"Black or African American"	"2054-5"	"West"	"CENS-R4"	0.668	30	52
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Female"	"F"	"White"	"2106-3"	"Northeast"	"CENS-R1"	0.551	955	1630
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Female"	"F"	"White"	"2106-3"	"Midwest"	"CENS-R2"	0.643	1298	1923
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Female"	"F"	"White"	"2106-3"	"South"	"CENS-R3"	0.651	1810	2619
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Female"	"F"	"White"	"2106-3"	"West"	"CENS-R4"	0.657	1106	1661
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Northeast"	"CENS-R1"	Not Applicable	0	18
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Northeast"	"CENS-R1"	0.513	21	50
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"South"	"CENS-R3"	0.479	19	39
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"West"	"CENS-R4"	0.884	87	108
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Male"	"M"	"Black or African American"	"2054-5"	"Northeast"	"CENS-R1"	0.468	59	120
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Male"	"M"	"Black or African American"	"2054-5"	"Midwest"	"CENS-R2"	0.682	79	128
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Male"	"M"	"Black or African American"	"2054-5"	"South"	"CENS-R3"	0.697	222	369
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Male"	"M"	"Black or African American"	"2054-5"	"West"	"CENS-R4"	0.758	31	61
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Male"	"M"	"White"	"2106-3"	"Northeast"	"CENS-R1"	0.599	1206	1979
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Male"	"M"	"White"	"2106-3"	"Midwest"	"CENS-R2"	0.683	1593	2341
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Male"	"M"	"White"	"2106-3"	"South"	"CENS-R3"	0.697	2275	3277
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Male"	"M"	"White"	"2106-3"	"West"	"CENS-R4"	0.681	1430	2171
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Northeast"	"CENS-R1"	Not Applicable	0	25
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"South"	"CENS-R3"	Not Applicable	0	26
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"West"	"CENS-R4"	0.553	62	114
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Female"	"F"	"Black or African American"	"2054-5"	"Northeast"	"CENS-R1"	0.439	59	139
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Female"	"F"	"Black or African American"	"2054-5"	"Midwest"	"CENS-R2"	0.481	52	117
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Female"	"F"	"Black or African American"	"2054-5"	"South"	"CENS-R3"	0.660	222	351
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Female"	"F"	"Black or African American"	"2054-5"	"West"	"CENS-R4"	0.529	31	65
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Female"	"F"	"White"	"2106-3"	"Northeast"	"CENS-R1"	0.507	942	1726
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Female"	"F"	"White"	"2106-3"	"Midwest"	"CENS-R2"	0.706	1380	1874
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Female"	"F"	"White"	"2106-3"	"South"	"CENS-R3"	0.626	1824	2770
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Female"	"F"	"White"	"2106-3"	"West"	"CENS-R4"	0.672	1160	1704
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Northeast"	"CENS-R1"	Not Applicable	0	23
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Midwest"	"CENS-R2"	Not Applicable	0	16
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"South"	"CENS-R3"	Not Applicable	0	30
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"West"	"CENS-R4"	0.973	16	23
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Northeast"	"CENS-R1"	0.436	17	47
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"West"	"CENS-R4"	0.620	68	122
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Male"	"M"	"Black or African American"	"2054-5"	"Northeast"	"CENS-R1"	0.607	73	131
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Male"	"M"	"Black or African American"	"2054-5"	"Midwest"	"CENS-R2"	0.726	83	127
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Male"	"M"	"Black or African American"	"2054-5"	"South"	"CENS-R3"	0.658	244	405
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Male"	"M"	"Black or African American"	"2054-5"	"West"	"CENS-R4"	0.638	47	78
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Male"	"M"	"White"	"2106-3"	"Northeast"	"CENS-R1"	0.581	1167	1979
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Male"	"M"	"White"	"2106-3"	"Midwest"	"CENS-R2"	0.673	1546	2295
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Male"	"M"	"White"	"2106-3"	"South"	"CENS-R3"	0.687	2349	3438
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Male"	"M"	"White"	"2106-3"	"West"	"CENS-R4"	0.740	1481	2069
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Northeast"	"CENS-R1"	Not Applicable	0	23
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"South"	"CENS-R3"	Not Applicable	0	28
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Northeast"	"CENS-R1"	0.403	16	49
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"South"	"CENS-R3"	0.838	27	42
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"West"	"CENS-R4"	0.508	54	109
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Female"	"F"	"Black or African American"	"2054-5"	"Northeast"	"CENS-R1"	0.461	52	117
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Female"	"F"	"Black or African American"	"2054-5"	"Midwest"	"CENS-R2"	0.528	63	128
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Female"	"F"	"Black or African American"	"2054-5"	"South"	"CENS-R3"	0.527	202	414
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Female"	"F"	"Black or African American"	"2054-5"	"West"	"CENS-R4"	0.758	39	52
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Female"	"F"	"White"	"2106-3"	"Northeast"	"CENS-R1"	0.553	1008	1686
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Female"	"F"	"White"	"2106-3"	"Midwest"	"CENS-R2"	0.618	1291	1975
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Female"	"F"	"White"	"2106-3"	"South"	"CENS-R3"	0.585	1832	2932
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Female"	"F"	"White"	"2106-3"	"West"	"CENS-R4"	0.654	1154	1728
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"South"	"CENS-R3"	Not Applicable	0	17
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Northeast"	"CENS-R1"	0.633	24	43
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"South"	"CENS-R3"	0.363	16	44
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"West"	"CENS-R4"	0.697	80	120
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Male"	"M"	"Black or African American"	"2054-5"	"Northeast"	"CENS-R1"	0.404	49	139
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Male"	"M"	"Black or African American"	"2054-5"	"Midwest"	"CENS-R2"	0.628	70	136
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Male"	"M"	"Black or African American"	"2054-5"	"South"	"CENS-R3"	0.670	245	397
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Male"	"M"	"Black or African American"	"2054-5"	"West"	"CENS-R4"	0.853	45	61
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Male"	"M"	"White"	"2106-3"	"Northeast"	"CENS-R1"	0.575	1224	2075
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Male"	"M"	"White"	"2106-3"	"Midwest"	"CENS-R2"	0.682	1617	2368
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Male"	"M"	"White"	"2106-3"	"South"	"CENS-R3"	0.664	2267	3422
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Male"	"M"	"White"	"2106-3"	"West"	"CENS-R4"	0.649	1400	2245
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Northeast"	"CENS-R1"	Not Applicable	0	22
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Midwest"	"CENS-R2"	Not Applicable	0	23
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"South"	"CENS-R3"	Not Applicable	0	31
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"South"	"CENS-R3"	0.574	16	37
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"West"	"CENS-R4"	0.521	59	115
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Female"	"F"	"Black or African American"	"2054-5"	"Northeast"	"CENS-R1"	0.327	39	120
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Female"	"F"	"Black or African American"	"2054-5"	"Midwest"	"CENS-R2"	0.533	65	132
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Female"	"F"	"Black or African American"	"2054-5"	"South"	"CENS-R3"	0.613	217	380
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Female"	"F"	"Black or African American"	"2054-5"	"West"	"CENS-R4"	0.609	32	58
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Female"	"F"	"White"	"2106-3"	"Northeast"	"CENS-R1"	0.570	1008	1631
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Female"	"F"	"White"	"2106-3"	"Midwest"	"CENS-R2"	0.587	1288	2061
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Female"	"F"	"White"	"2106-3"	"South"	"CENS-R3"	0.625	1894	2875
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Female"	"F"	"White"	"2106-3"	"West"	"CENS-R4"	0.635	1174	1798
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Northeast"	"CENS-R1"	Not Applicable	0	17
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Midwest"	"CENS-R2"	Not Applicable	0	21
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"South"	"CENS-R3"	Not Applicable	0	17
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"West"	"CENS-R4"	0.654	16	26
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Northeast"	"CENS-R1"	0.506	23	48
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"South"	"CENS-R3"	0.374	16	56
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"West"	"CENS-R4"	0.771	80	115
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Male"	"M"	"Black or African American"	"2054-5"	"Northeast"	"CENS-R1"	0.506	71	145
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Male"	"M"	"Black or African American"	"2054-5"	"Midwest"	"CENS-R2"	0.548	68	148
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Male"	"M"	"Black or African American"	"2054-5"	"South"	"CENS-R3"	0.718	257	398
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Male"	"M"	"Black or African American"	"2054-5"	"West"	"CENS-R4"	0.771	44	60
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Male"	"M"	"White"	"2106-3"	"Northeast"	"CENS-R1"	0.579	1245	2099
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Male"	"M"	"White"	"2106-3"	"Midwest"	"CENS-R2"	0.670	1569	2351
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Male"	"M"	"White"	"2106-3"	"South"	"CENS-R3"	0.656	2318	3511
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Male"	"M"	"White"	"2106-3"	"West"	"CENS-R4"	0.732	1583	2203
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Northeast"	"CENS-R1"	Not Applicable	0	17
